hour,SOC,DOC,MBC,EEC
570,54.29973414,1.291820302,6.179972327,0.625447205
575,52.55257608,1.008831563,6.220928348,0.608431392
580,56.10235102,1.0273014,6.123095169,0.832696819
585,47.02759192,1.217006961,6.569431872,0.64219967
590,51.54317174,1.260091688,5.465211694,0.687197449
595,51.4170075,0.902988974,5.294538408,0.70587394
600,53.171963,0.891840762,6.487367709,0.682733636
605,45.13570324,1.129028868,5.85020359,0.600927442
610,42.2100124,1.228732876,5.215288936,0.598942169
615,49.26331935,1.000222463,5.623650317,0.532402374
620,58.95442965,1.003478228,5.806494121,0.483281408
625,53.63530125,0.93314855,6.168313658,0.550965138
630,52.24878754,1.143485533,5.335327718,0.60720516
635,42.92647928,0.879273554,5.556875037,0.716621833
640,62.99329469,1.055755574,6.536003947,0.607808099
645,46.77423301,1.214447736,6.01210089,0.713665372
650,54.45415696,1.132310901,6.22699661,0.666832644
655,46.56045203,1.277990366,5.480927856,0.606872541
660,52.87150644,1.139857531,5.410884879,0.821024334
665,37.95626107,1.041818625,6.097539325,0.70036969
670,51.86628423,0.82691478,5.898812144,0.453558054
675,44.54780979,0.922747864,5.546620844,0.606910307
680,45.53857781,0.975953346,6.23329963,0.721564852
685,58.16354586,1.137053235,5.942085743,0.689763996
690,47.42732813,1.023186783,5.525517905,0.623208465
695,57.82886267,1.064764856,5.846856151,0.592676908
700,46.60209029,1.067747311,5.464171288,0.617439798
705,45.19460821,1.289428456,6.337312733,0.688047975
710,53.66738983,1.146450423,5.853745128,0.549080938
715,51.76409519,1.07021627,4.896923413,0.47336748
720,45.54235866,1.329172257,5.628143342,0.603026144
725,37.61375471,0.864450405,5.560337936,0.58364554
730,46.52231601,1.048235863,6.339423401,0.518715478
735,56.27214021,0.663679231,6.319964527,0.414462647
740,42.13144054,0.516612431,5.671939325,0.469072771
745,34.59901983,0.921031686,6.381681242,0.486778117
750,46.99037728,0.872046709,5.959389542,0.406207602
755,42.45959245,0.809396094,5.605181415,0.582951989
760,64.53072275,0.738584184,5.755318295,0.446530027
765,41.4282032,0.712274418,5.49899421,0.455929421
770,48.84595615,0.838349339,5.822810315,0.456951038
775,48.40678054,0.799020975,5.616015154,0.376503701
780,48.13057029,0.67585484,5.895191316,0.476711863
785,54.3712073,0.873685127,5.362604918,0.541350152
790,48.40567348,0.98624474,5.643381008,0.596394394
795,47.39857692,0.925068827,6.200228923,0.521921471
800,37.10682936,0.912725145,6.325590774,0.46041054
805,35.42462601,0.881543074,5.871687676,0.518564094
810,40.69267753,0.725552909,6.178908521,0.511497778
815,44.84591027,0.923166422,6.815913756,0.544000085
820,46.17923577,0.885552844,6.086905118,0.698340685
825,42.06801615,0.93527163,6.46011735,0.625607518
830,48.29841504,0.980176289,6.700179231,0.643967338
835,37.95632884,0.887003691,6.142305849,0.547684192
840,43.32645519,1.049353404,6.314227548,0.386901718
845,41.28102205,0.954966026,5.85915183,0.399841636
850,54.90367964,0.660844454,5.92003523,0.389161347
855,46.84862707,0.548163639,5.854186334,0.353935074
860,36.95711707,0.668670573,6.366398614,0.367817419
865,39.21382382,0.848432897,6.491732108,0.455181839
870,50.4752464,0.598715808,5.968893587,0.60631659
875,49.0891165,1.113575354,6.736119966,0.657347871
880,41.05396479,0.844607725,6.832370492,0.660848731
885,48.77957145,0.805025992,6.518544543,0.66033294
890,36.98400207,0.822556692,6.756265821,0.554141026
895,46.29237431,0.683874104,7.399224987,0.784758281
900,38.08147291,1.183800388,7.623009835,0.690654381
905,44.25315457,1.233754179,8.001754104,0.730463726
910,47.85018984,0.991109523,6.565403975,0.899458527
915,34.41573841,0.852384194,6.550380048,0.918083788
920,45.66110733,1.089180233,7.323188122,0.941381801
925,47.80225445,1.029231947,7.204021346,1.023435095
930,38.38970707,1.52471848,6.790251248,0.81604664
935,48.81309096,1.254757304,7.700620091,1.055998133
940,44.89228336,1.30863551,7.93666805,0.999569437
945,35.62656619,1.612264819,7.806074829,0.909315862
950,29.80955811,1.38803803,7.395641252,0.973372925
955,43.20027533,1.394607482,7.484224365,1.1495631
960,31.40345908,1.627606316,7.443104635,1.182565444
965,30.94830683,1.330366207,8.059958354,0.968123201
970,35.17723675,1.660564985,7.918891658,1.076887412
975,43.40881426,1.270408697,7.956746114,1.00582779
980,40.71952656,1.285066071,8.87932276,1.030681763
985,38.19213058,1.203618966,7.594112281,1.017362068
990,39.21070907,1.508851539,7.570197013,0.819697513
995,21.89853923,1.609358036,7.935050952,1.006477031
1000,45.94729462,1.51524003,8.315215043,1.150923025
